,BM4,,,f1,f2,f3,f4,f5,,Strong,Weak,,BM5,,,f1,f2,f3,f4,f5,,Strong,Weak
26,CP_ELOCAL_CB,,,0.125,0.0892857143,0.0338983051,0.0384615385,0,,0.1428571429,0.0491803279,,CP_ELOCAL_CB,,,0,0,0.0526315789,0,"0,0",,0,0.027027027
27,CP_ELOCAL_MIN,,,0.125,0.0714285714,0.0338983051,0,0,,0.1428571429,0.0327868852,,CP_ELOCAL_MIN,,,0,0.05,0.0526315789,0.25,"0,0",,0,0.0540540541
28,CP_EPAIR_CB,,,0.0833333333,0.0357142857,0,0,0,,0.1071428571,0,,CP_EPAIR_CB,,,0,0,0,0,"0,0",,0,0
29,CP_EPAIR_MIN,,,0.0416666667,0.0357142857,0.0508474576,0,0,,0.0357142857,0.0163934426,,CP_EPAIR_MIN,,,0,0,0,0,"0,0",,0,0
30,CP_ES3DC_CB,,,0.0416666667,0.0535714286,0,0.0384615385,0,,0.0357142857,0,,CP_ES3DC_CB,,,0,0,0.0526315789,0,"0,0",,0,0
31,CP_ES3DC_MIN,,,0.1666666667,0.1071428571,0.0847457627,0.0384615385,0,,0.1785714286,0.0655737705,,CP_ES3DC_MIN,,,0.1428571429,0.15,0.1052631579,0,"0,0",,0.4444444444,0.0540540541
32,CP_GKS,,,0.0416666667,0.0178571429,0,0,0,,0.0357142857,0,,CP_GKS,,,0,0,0,0,"0,0",,0,0
33,CP_HLPL,,,0.3333333333,0.1785714286,0.1186440678,0.1153846154,0.0909090909,,0.25,0.1639344262,,CP_HLPL,,,0.1428571429,0.4,0.2105263158,0,"0,0909090909091",,0.5555555556,0.1081081081
34,CP_MJ1,,,0,0.0178571429,0,0,0,,0,0,,CP_MJ1,,,0,0,0,0,"0,0",,0,0
35,CP_MJ2,,,0.0416666667,0.0178571429,0,0,0,,0.0357142857,0,,CP_MJ2,,,0,0.05,0.1052631579,0,"0,0",,0,0.027027027
36,CP_MJ2h,,,0.25,0.1428571429,0.1186440678,0.0384615385,0.0909090909,,0.2142857143,0.0655737705,,CP_MJ2h,,,0,0.1,0.1052631579,0,"0,0909090909091",,0.1111111111,0.0540540541
37,CP_MJ3h,,,0.1666666667,0.1607142857,0.1355932203,0.1538461538,0.0909090909,,0.25,0.1803278689,,CP_MJ3h,,,0.1428571429,0.3,0.1578947368,0.25,"0,0909090909091",,0.3333333333,0.1891891892
38,CP_MJPL,,,0.0833333333,0.0714285714,0.0508474576,0,0.0909090909,,0.0357142857,0.0327868852,,CP_MJPL,,,0.1428571429,0.05,0,0.25,"0,0909090909091",,0.1111111111,0.027027027
39,CP_MS,,,0.0416666667,0.0178571429,0,0,0,,0.0357142857,0,,CP_MS,,,0,0.05,0,0,"0,0",,0,0.027027027
40,CP_MSBM,,,0.0833333333,0.0535714286,0.0338983051,0,0,,0.1071428571,0.0163934426,,CP_MSBM,,,0,0,0,0,"0,0",,0,0.027027027
41,CP_Qa,,,0.125,0.0892857143,0.0677966102,0.1538461538,0,,0.0714285714,0.131147541,,CP_Qa,,,0.1428571429,0,0.0526315789,0,"0,0",,0.1111111111,0.1081081081
42,CP_Qm,,,0.125,0.125,0.0847457627,0.1153846154,0,,0.1428571429,0.1147540984,,CP_Qm,,,0.2857142857,0.1,0.1578947368,0,"0,0",,0.3333333333,0.1081081081
43,CP_Qp,,,0.2916666667,0.1428571429,0.1186440678,0.0384615385,0.0909090909,,0.25,0.0983606557,,CP_Qp,,,0.1428571429,0.15,0.1578947368,0,"0,0909090909091",,0.4444444444,0.1081081081
44,CP_RMFCA,,,0.25,0.1964285714,0.186440678,0.0769230769,0.0909090909,,0.25,0.1639344262,,CP_RMFCA,,,0.1428571429,0.15,0.0526315789,0.25,"0,0909090909091",,0.3333333333,0.1351351351
45,CP_RMFCEN1,,,0.1666666667,0.2142857143,0.1186440678,0,0,,0.2142857143,0.1147540984,,CP_RMFCEN1,,,0.1428571429,0.15,0.0526315789,0.25,"0,0",,0.2222222222,0.0810810811
46,CP_RMFCEN2,,,0.0833333333,0.2142857143,0.0677966102,0.0384615385,0,,0.1785714286,0.0983606557,,CP_RMFCEN2,,,0.1428571429,0.05,0.1052631579,0.25,"0,0",,0.1111111111,0.0810810811
47,CP_RO,,,0.0416666667,0.0357142857,0.1016949153,0,0,,0,0.0819672131,,CP_RO,,,0,0,0,0,"0,0",,0,0.0540540541
48,CP_SJKG,,,0.0833333333,0.0892857143,0.0677966102,0.0384615385,0,,0.0714285714,0.0983606557,,CP_SJKG,,,0.2857142857,0.15,0.1578947368,0.25,"0,0",,0.5555555556,0.0810810811
49,CP_SKOa,,,0.0833333333,0.0535714286,0.0847457627,0.0769230769,0,,0.0714285714,0.0983606557,,CP_SKOa,,,0.2857142857,0.3,0.1578947368,0.25,"0,0",,0.4444444444,0.0810810811
50,CP_SKOb,,,0.125,0.125,0.0677966102,0.1538461538,0,,0.1071428571,0.1475409836,,CP_SKOb,,,0.2857142857,0.15,0.1578947368,0,"0,0",,0.5555555556,0.1081081081
51,CP_SKOIP,,,0.0833333333,0.1428571429,0.1694915254,0.1538461538,0,,0.1785714286,0.1475409836,,CP_SKOIP,,,0.1428571429,0.2,0.1052631579,0,"0,0",,0.2222222222,0.1351351351
52,CP_TB,,,0.3333333333,0.2142857143,0.1016949153,0.1153846154,0.1818181818,,0.2857142857,0.1967213115,,CP_TB,,,0.4285714286,0.4,0.1052631579,0,"0,181818181818",,0.6666666667,0.1621621622
53,CP_TD,,,0.125,0.1964285714,0.1016949153,0.0769230769,0.0909090909,,0.1785714286,0.1475409836,,CP_TD,,,0.1428571429,0.25,0.2105263158,0,"0,0909090909091",,0.3333333333,0.1351351351
54,CP_TEl,,,0.125,0.1071428571,0.1016949153,0.0769230769,0,,0.1428571429,0.1475409836,,CP_TEl,,,0,0.25,0.1578947368,0.25,"0,0",,0.3333333333,0.0810810811
55,CP_TEs,,,0,0.0714285714,0.0847457627,0.0384615385,0,,0,0.0491803279,,CP_TEs,,,0.1428571429,0.1,0.1052631579,0,"0,0",,0.4444444444,0.0540540541
56,CP_TS,,,0.2083333333,0.0892857143,0.0677966102,0.0384615385,0,,0.2142857143,0.0491803279,,CP_TS,,,0,0.1,0.1052631579,0.25,"0,0",,0.1111111111,0.0540540541
57,CP_TSC,,,0.3333333333,0.2321428571,0.1355932203,0.1153846154,0,,0.2142857143,0.262295082,,CP_TSC,,,0,0.2,0.1578947368,0,"0,0",,0.3333333333,0.2162162162
58,CP_VD,,,0.0833333333,0.0357142857,0.0169491525,0,0,,0.0357142857,0.0163934426,,CP_VD,,,0,0.05,0.0526315789,0.25,"0,0",,0,0.0540540541
59,CP_Z3DC_CB,,,0,0,0,0.0384615385,0,,0,0,,CP_Z3DC_CB,,,0,0,0,0,"0,0",,0,0
60,CP_Z3DC_MIN,,,0.0416666667,0,0.0169491525,0,0,,0.0357142857,0,,CP_Z3DC_MIN,,,0,0,0,0.25,"0,0",,0,0.027027027
61,CP_ZLOCAL_CB,,,0,0,0,0,0,,0,0,,CP_ZLOCAL_CB,,,0,0,0,0,"0,0",,0,0
62,CP_ZLOCAL_MIN,,,0,0,0.0508474576,0,0,,0.0357142857,0.0327868852,,CP_ZLOCAL_MIN,,,0,0,0,0,"0,0",,0,0
63,CP_ZPAIR_CB,,,0,0.0178571429,0,0,0,,0.0357142857,0,,CP_ZPAIR_CB,,,0,0,0,0.25,"0,0",,0,0
64,CP_ZPAIR_MIN,,,0,0,0,0,0,,0,0,,CP_ZPAIR_MIN,,,0,0,0,0,"0,0",,0,0
65,CP_ZS3DC_CB,,,0,0.0178571429,0,0,0,,0,0,,CP_ZS3DC_CB,,,0,0,0,0,"0,0",,0,0
66,CP_ZS3DC_MIN,,,0.25,0.125,0.0847457627,0.0384615385,0,,0.25,0.0819672131,,CP_ZS3DC_MIN,,,0.1428571429,0.05,0.1578947368,0,"0,0",,0.4444444444,0.027027027
67,DESOLV,,,0.125,0.1428571429,0.0508474576,0.0384615385,0,,0.0357142857,0.1147540984,,DESOLV,,,0,0,0,0,"0,0",,0,0.0540540541
68,ELE,,,0.1666666667,0.0535714286,0.0508474576,0,0,,0.0714285714,0.0983606557,,ELE,,,0,0.05,0,0,"0,0",,0,0.027027027
69,ODA,,,0.25,0.125,0.1186440678,0.1153846154,0,,0.25,0.0983606557,,ODA,,,0,0,0,0,"0,0",,0,0.0540540541
70,PROPNSTS,,,0.3333333333,0.1428571429,0.1355932203,0.1153846154,0.0909090909,,0.1785714286,0.2131147541,,PROPNSTS,,,0,0,0.0526315789,0,"0,0909090909091",,0.1111111111,0.1081081081
71,PYDOCK_TOT,,,0.4166666667,0.25,0.1016949153,0.0384615385,0,,0.3214285714,0.1967213115,,PYDOCK_TOT,,,0.1428571429,0.4,0.1578947368,0,"0,0",,0.2222222222,0.1351351351
72,SIPPER,,,0.3333333333,0.1785714286,0.1694915254,0.0769230769,0,,0.2857142857,0.1967213115,,SIPPER,,,0,0,0.0526315789,0,"0,0",,0.1111111111,0.1351351351
73,VDW,,,0.0416666667,0.0357142857,0.0508474576,0,0,,0,0.0163934426,,VDW,,,0,0,0,0,"0,0",,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,BM4,,,f1,f2,f3,f4,f5,,Strong,Weak,,BM5,,,f1,f2,f3,f4,f5,,Strong,Weak
1,AP_calRW,,,0.2916666667,0.2321428571,0.2372881356,0.0769230769,0,,0.3214285714,0.1967213115,,AP_calRW,,,0.2857142857,0.2,0.1052631579,0,"0,0",,0.2222222222,0.1081081081
2,AP_calRWp,,,0.2916666667,0.2857142857,0.1694915254,0.0384615385,0,,0.25,0.1475409836,,AP_calRWp,,,0.4285714286,0.2,0.1578947368,0.25,"0,0",,0.3333333333,0.1621621622
3,AP_DARS,,,0.1666666667,0.1607142857,0.186440678,0.0384615385,0.1818181818,,0.1785714286,0.1147540984,,AP_DARS,,,0,0.15,0.1052631579,0,"0,181818181818",,0.1111111111,0.1351351351
4,AP_DCOMPLEX,,,0.3333333333,0.3035714286,0.2372881356,0.0384615385,0,,0.25,0.262295082,,AP_DCOMPLEX,,,0.4285714286,0.3,0.1052631579,0.25,"0,0",,0.2222222222,0.1891891892
5,AP_dDFIRE,,,0.4166666667,0.3214285714,0.2542372881,0.0769230769,0,,0.25,0.2459016393,,AP_dDFIRE,,,0.2857142857,0.05,0.1578947368,0.25,"0,0",,0.2222222222,0.1081081081
6,AP_DFIRE2,,,0.2916666667,0.2678571429,0.2033898305,0.0384615385,0,,0.2142857143,0.1639344262,,AP_DFIRE2,,,0.2857142857,0.1,0.1052631579,0.25,"0,0",,0.2222222222,0.0810810811
7,AP_DOPE,,,0.2083333333,0.2321428571,0.1355932203,0.0384615385,0,,0.2142857143,0.0819672131,,AP_DOPE,,,0.2857142857,0,0,0.25,"0,0",,0.2222222222,0.0540540541
8,AP_DOPE_HR,,,0.25,0.1964285714,0.1694915254,0,0,,0.1785714286,0.1475409836,,AP_DOPE_HR,,,0.4285714286,0,0,0,"0,0",,0.2222222222,0.1351351351
9,AP_GOAP_ALL,,,0.0416666667,0.0714285714,0.0508474576,0.0769230769,0,,0.0357142857,0.0655737705,,AP_GOAP_ALL,,,0,0.05,0.1052631579,0,"0,0",,0,0.1081081081
10,AP_GOAP_DF,,,0.25,0.2678571429,0.2372881356,0.0384615385,0,,0.1785714286,0.1803278689,,AP_GOAP_DF,,,0.2857142857,0.15,0.1052631579,0.25,"0,0",,0.2222222222,0.1081081081
11,AP_GOAP_G,,,0,0.0535714286,0.0508474576,0,0,,0,0.0491803279,,AP_GOAP_G,,,0,0,0,0,"0,0",,0,0.0810810811
12,AP_MPS,,,0.1666666667,0.1428571429,0.1355932203,0.1153846154,0,,0.2857142857,0.0655737705,,AP_MPS,,,0.2857142857,0.25,0.2631578947,0.25,"0,0",,0.4444444444,0.1621621622
13,AP_PISA,,,0.5833333333,0.3928571429,0.3050847458,0.2692307692,0,,0.5357142857,0.2786885246,,AP_PISA,,,0.2857142857,0.25,0.1578947368,0,"0,0",,0.2222222222,0.2162162162
14,AP_T1,,,0.4166666667,0.2857142857,0.2881355932,0.1923076923,0,,0.3214285714,0.2459016393,,AP_T1,,,0.2857142857,0.35,0.0526315789,0,"0,0",,0.3333333333,0.1621621622
15,AP_T2,,,0.5,0.3035714286,0.3050847458,0.0384615385,0,,0.2857142857,0.262295082,,AP_T2,,,0.2857142857,0.45,0.0526315789,0.25,"0,0",,0.3333333333,0.2162162162
16,AP_URS,,,0.2083333333,0.2678571429,0.1355932203,0.0384615385,0,,0.2857142857,0.0983606557,,AP_URS,,,0.1428571429,0.1,0.0526315789,0,"0,0",,0.1111111111,0.027027027
17,AP_WENG,,,0,0.0535714286,0.0338983051,0.0384615385,0.0909090909,,0.0714285714,0,,AP_WENG,,,0.1428571429,0,0,0,"0,0909090909091",,0,0.027027027
18,CP_BFKV,,,0.2083333333,0.2321428571,0.186440678,0.0769230769,0,,0.1785714286,0.1475409836,,CP_BFKV,,,0.4285714286,0.3,0.2105263158,0.25,"0,0",,0.5555555556,0.1891891892
19,CP_BL,,,0.125,0.2321428571,0.1186440678,0.0384615385,0.0909090909,,0.2142857143,0.131147541,,CP_BL,,,0.5714285714,0.2,0.0526315789,0,"0,0909090909091",,0.2222222222,0.2162162162
20,CP_BT,,,0.2916666667,0.2142857143,0.2203389831,0.0769230769,0,,0.2142857143,0.1639344262,,CP_BT,,,0.5714285714,0.2,0.1052631579,0.25,"0,0",,0.5555555556,0.1621621622
21,CP_DECK,,,0.3333333333,0.2857142857,0.1694915254,0.0769230769,0,,0.3214285714,0.2131147541,,CP_DECK,,,0.1428571429,0.05,0.1578947368,0,"0,0",,0.1111111111,0.1351351351
22,CP_E3D_CB,,,0.2916666667,0.2142857143,0.186440678,0.0384615385,0,,0.1428571429,0.131147541,,CP_E3D_CB,,,0.1428571429,0.15,0.0526315789,0,"0,0",,0.1111111111,0.1081081081
23,CP_E3DC_CB,,,0.125,0.1071428571,0.0508474576,0.0384615385,0,,0.0357142857,0.0655737705,,CP_E3DC_CB,,,0,0.2,0,0,"0,0",,0,0.1621621622
24,CP_E3DC_MIN,,,0.3333333333,0.2142857143,0.1525423729,0.0384615385,0.0909090909,,0.1785714286,0.1475409836,,CP_E3DC_MIN,,,0,0.15,0.0526315789,0.25,"0,0909090909091",,0.1111111111,0.0540540541
25,CP_E3D_MIN,,,0.4166666667,0.2321428571,0.2542372881,0.0384615385,0,,0.3214285714,0.1803278689,,CP_E3D_MIN,,,0.1428571429,0.25,0.1578947368,0.25,"0,0",,0.1111111111,0.1621621622
26,CP_ELOCAL_CB,,,0.25,0.2321428571,0.2033898305,0.0384615385,0,,0.1785714286,0.131147541,,CP_ELOCAL_CB,,,0.1428571429,0.15,0,0,"0,0",,0.1111111111,0.1081081081
27,CP_ELOCAL_MIN,,,0.3333333333,0.2857142857,0.2542372881,0.0384615385,0,,0.2857142857,0.1803278689,,CP_ELOCAL_MIN,,,0.1428571429,0.25,0.1052631579,0,"0,0",,0.1111111111,0.1621621622
28,CP_EPAIR_CB,,,0.3333333333,0.2321428571,0.1186440678,0,0,,0.25,0.131147541,,CP_EPAIR_CB,,,0.1428571429,0.35,0,0,"0,0",,0.1111111111,0.1081081081
29,CP_EPAIR_MIN,,,0.375,0.2678571429,0.2203389831,0.0769230769,0,,0.3571428571,0.1639344262,,CP_EPAIR_MIN,,,0.1428571429,0.45,0.0526315789,0,"0,0",,0.2222222222,0.1351351351
30,CP_ES3DC_CB,,,0.1666666667,0.1964285714,0.1355932203,0.0769230769,0,,0.1428571429,0.1967213115,,CP_ES3DC_CB,,,0.1428571429,0.2,0.0526315789,0,"0,0",,0.1111111111,0.1621621622
31,CP_ES3DC_MIN,,,0.25,0.1607142857,0.1355932203,0.0384615385,0,,0.1785714286,0.1147540984,,CP_ES3DC_MIN,,,0.1428571429,0.25,0.0526315789,0.25,"0,0",,0.3333333333,0.1081081081
32,CP_GKS,,,0.1666666667,0.125,0.1694915254,0,0,,0.0714285714,0.0983606557,,CP_GKS,,,0.4285714286,0.2,0.1052631579,0,"0,0",,0.3333333333,0.1081081081
33,CP_HLPL,,,0.4166666667,0.3392857143,0.2372881356,0.1153846154,0.0909090909,,0.3928571429,0.1803278689,,CP_HLPL,,,0.2857142857,0.45,0.2105263158,0.25,"0,0909090909091",,0.3333333333,0.2162162162
34,CP_MJ1,,,0,0.1071428571,0.1186440678,0.0769230769,0,,0.0357142857,0.0983606557,,CP_MJ1,,,0.4285714286,0.15,0.0526315789,0,"0,0",,0.4444444444,0.1351351351
35,CP_MJ2,,,0.2083333333,0.125,0.1525423729,0,0,,0.2142857143,0.0819672131,,CP_MJ2,,,0.2857142857,0.2,0.0526315789,0.25,"0,0",,0.3333333333,0.1081081081
36,CP_MJ2h,,,0.4583333333,0.2857142857,0.2372881356,0.0769230769,0,,0.3928571429,0.1803278689,,CP_MJ2h,,,0.1428571429,0.2,0.1578947368,0.25,"0,0",,0.1111111111,0.1351351351
37,CP_MJ3h,,,0.4166666667,0.2142857143,0.1525423729,0.1153846154,0.0909090909,,0.3214285714,0.1803278689,,CP_MJ3h,,,0,0.25,0,0,"0,0909090909091",,0.1111111111,0.1621621622
38,CP_MJPL,,,0.2916666667,0.25,0.2203389831,0.0384615385,0,,0.2857142857,0.131147541,,CP_MJPL,,,0.2857142857,0.1,0.1052631579,0.25,"0,0",,0.2222222222,0.1081081081
39,CP_MS,,,0.1666666667,0.1964285714,0.1525423729,0,0,,0.1428571429,0.1147540984,,CP_MS,,,0.4285714286,0.25,0.0526315789,0.25,"0,0",,0.2222222222,0.1891891892
40,CP_MSBM,,,0.25,0.1428571429,0.1525423729,0.0769230769,0,,0.3928571429,0.0491803279,,CP_MSBM,,,0.1428571429,0,0.0526315789,0,"0,0",,0.1111111111,0.0540540541
41,CP_Qa,,,0.0416666667,0.0892857143,0.0847457627,0.1923076923,0,,0.1071428571,0.0819672131,,CP_Qa,,,0,0.2,0.0526315789,0,"0,0",,0,0.027027027
42,CP_Qm,,,0.125,0.125,0.1186440678,0.2692307692,0,,0.2142857143,0.131147541,,CP_Qm,,,0.2857142857,0.15,0.1052631579,0.25,"0,0",,0.2222222222,0.1621621622
43,CP_Qp,,,0.375,0.3214285714,0.2372881356,0.1538461538,0.0909090909,,0.3571428571,0.1639344262,,CP_Qp,,,0.2857142857,0.2,0.0526315789,0.25,"0,0909090909091",,0.1111111111,0.1891891892
44,CP_RMFCA,,,0.2083333333,0.3035714286,0.2203389831,0.0384615385,0,,0.2142857143,0.1967213115,,CP_RMFCA,,,0.4285714286,0.1,0.1052631579,0,"0,0",,0.3333333333,0.1891891892
45,CP_RMFCEN1,,,0.3333333333,0.3214285714,0.2542372881,0.0384615385,0,,0.4642857143,0.131147541,,CP_RMFCEN1,,,0.2857142857,0.2,0.1052631579,0.25,"0,0",,0.2222222222,0.0540540541
46,CP_RMFCEN2,,,0.25,0.3571428571,0.2372881356,0.0384615385,0,,0.3571428571,0.1639344262,,CP_RMFCEN2,,,0.2857142857,0.15,0.1578947368,0.25,"0,0",,0.3333333333,0.0540540541
47,CP_RO,,,0.1666666667,0.125,0.0847457627,0.0384615385,0,,0.0357142857,0.1639344262,,CP_RO,,,0.2857142857,0.05,0.1052631579,0,"0,0",,0.1111111111,0.1351351351
48,CP_SJKG,,,0,0.1964285714,0.1525423729,0.1538461538,0.0909090909,,0.1428571429,0.131147541,,CP_SJKG,,,0.2857142857,0.25,0.1052631579,0,"0,0909090909091",,0.4444444444,0.1351351351
49,CP_SKOa,,,0.125,0.1964285714,0.1355932203,0.1153846154,0.0909090909,,0.1785714286,0.1639344262,,CP_SKOa,,,0.2857142857,0.25,0.1052631579,0.25,"0,0909090909091",,0.4444444444,0.1891891892
50,CP_SKOb,,,0.0833333333,0.2321428571,0.186440678,0.1538461538,0.0909090909,,0.25,0.1475409836,,CP_SKOb,,,0.4285714286,0.25,0.0526315789,0.25,"0,0909090909091",,0.4444444444,0.1621621622
51,CP_SKOIP,,,0.3333333333,0.2678571429,0.2542372881,0.1538461538,0.0909090909,,0.3214285714,0.1967213115,,CP_SKOIP,,,0,0.25,0.1052631579,0.25,"0,0909090909091",,0.1111111111,0.1621621622
52,CP_TB,,,0.4166666667,0.3214285714,0.1694915254,0.0769230769,0.0909090909,,0.5,0.1967213115,,CP_TB,,,0.5714285714,0.45,0.1052631579,0,"0,0909090909091",,0.5555555556,0.1891891892
53,CP_TD,,,0.4583333333,0.2321428571,0.2203389831,0.1538461538,0,,0.4285714286,0.1803278689,,CP_TD,,,0,0.3,0.1052631579,0,"0,0",,0,0.1081081081
54,CP_TEl,,,0.3333333333,0.2142857143,0.1525423729,0.1538461538,0.0909090909,,0.2857142857,0.1639344262,,CP_TEl,,,0.4285714286,0.05,0.1578947368,0.25,"0,0909090909091",,0.2222222222,0.1351351351
55,CP_TEs,,,0.125,0.1607142857,0.1525423729,0.0769230769,0.0909090909,,0.2142857143,0.0819672131,,CP_TEs,,,0.2857142857,0.25,0,0.25,"0,0909090909091",,0.2222222222,0.1351351351
56,CP_TS,,,0.4166666667,0.2857142857,0.2881355932,0.0769230769,0,,0.3571428571,0.2295081967,,CP_TS,,,0.1428571429,0.2,0.1578947368,0.25,"0,0",,0.1111111111,0.1081081081
57,CP_TSC,,,0.4166666667,0.3392857143,0.2711864407,0.1153846154,0,,0.3928571429,0.2295081967,,CP_TSC,,,0.2857142857,0.35,0.1578947368,0,"0,0",,0.3333333333,0.2432432432
58,CP_VD,,,0.375,0.1964285714,0.1016949153,0.0769230769,0,,0.25,0.0983606557,,CP_VD,,,0.4285714286,0.25,0.1052631579,0.25,"0,0",,0.3333333333,0.1351351351
59,CP_Z3DC_CB,,,0.125,0.0535714286,0,0,0,,0.0357142857,0.0327868852,,CP_Z3DC_CB,,,0.1428571429,0.15,0,0,"0,0",,0.1111111111,0.027027027
60,CP_Z3DC_MIN,,,0.1666666667,0.125,0.1016949153,0.0769230769,0,,0.0714285714,0.0983606557,,CP_Z3DC_MIN,,,0,0.15,0,0,"0,0",,0,0.1081081081
61,CP_ZLOCAL_CB,,,0.0833333333,0.0357142857,0.0338983051,0,0,,0,0.0491803279,,CP_ZLOCAL_CB,,,0,0.15,0,0,"0,0",,0,0.0810810811
62,CP_ZLOCAL_MIN,,,0.125,0.125,0.0508474576,0,0,,0,0.0819672131,,CP_ZLOCAL_MIN,,,0.1428571429,0.2,0.0526315789,0,"0,0",,0.2222222222,0.0810810811
63,CP_ZPAIR_CB,,,0.125,0.0714285714,0.0169491525,0,0,,0.0357142857,0.0655737705,,CP_ZPAIR_CB,,,0,0.35,0,0,"0,0",,0,0.0810810811
