/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.wmbinders samples = 61

AP_calRW 0.0327868852459 0.147540983607 0.491803278689 
AP_calRWp 0.016393442623 0.16393442623 0.524590163934 
AP_DARS 0.0327868852459 0.131147540984 0.27868852459 
AP_DCOMPLEX 0.131147540984 0.245901639344 0.44262295082 
AP_dDFIRE 0.0655737704918 0.196721311475 0.344262295082 
AP_DFIRE2 0.0327868852459 0.0983606557377 0.295081967213 
AP_DOPE 0.016393442623 0.0491803278689 0.196721311475 
AP_DOPE_HR 0.0491803278689 0.147540983607 0.245901639344 
AP_GOAP_ALL 0.016393442623 0.0327868852459 0.180327868852 
AP_GOAP_DF 0.0327868852459 0.131147540984 0.27868852459 
AP_GOAP_G 0.0 0.016393442623 0.0819672131148 
AP_MPS 0.0 0.0327868852459 0.16393442623 
AP_PISA 0.0983606557377 0.27868852459 0.508196721311 
AP_T1 0.0327868852459 0.262295081967 0.426229508197 
AP_T2 0.0491803278689 0.27868852459 0.459016393443 
AP_URS 0.016393442623 0.0819672131148 0.327868852459 
AP_WENG 0.0 0.016393442623 0.0819672131148 
CP_BFKV 0.016393442623 0.114754098361 0.327868852459 
CP_BL 0.016393442623 0.131147540984 0.360655737705 
CP_BT 0.0491803278689 0.229508196721 0.393442622951 
CP_DECK 0.0819672131148 0.213114754098 0.360655737705 
CP_E3D_CB 0.0 0.0655737704918 0.262295081967 
CP_E3DC_CB 0.016393442623 0.0655737704918 0.196721311475 
CP_E3DC_MIN 0.016393442623 0.147540983607 0.344262295082 
CP_E3D_MIN 0.0 0.0819672131148 0.393442622951 
CP_ELOCAL_CB 0.016393442623 0.0819672131148 0.229508196721 
CP_ELOCAL_MIN 0.0491803278689 0.131147540984 0.377049180328 
CP_EPAIR_CB 0.016393442623 0.0491803278689 0.196721311475 
CP_EPAIR_MIN 0.016393442623 0.131147540984 0.295081967213 
CP_ES3DC_CB 0.016393442623 0.0491803278689 0.213114754098 
CP_ES3DC_MIN 0.0 0.114754098361 0.327868852459 
CP_GKS 0.016393442623 0.0491803278689 0.295081967213 
CP_HLPL 0.0327868852459 0.196721311475 0.426229508197 
CP_MJ1 0.016393442623 0.0819672131148 0.196721311475 
CP_MJ2 0.0 0.016393442623 0.27868852459 
CP_MJ2h 0.0491803278689 0.147540983607 0.426229508197 
CP_MJ3h 0.0491803278689 0.180327868852 0.327868852459 
CP_MJPL 0.0327868852459 0.131147540984 0.360655737705 
CP_MS 0.0 0.0655737704918 0.327868852459 
CP_MSBM 0.0327868852459 0.0655737704918 0.295081967213 
CP_Qa 0.016393442623 0.0491803278689 0.180327868852 
CP_Qm 0.0327868852459 0.0655737704918 0.229508196721 
CP_Qp 0.016393442623 0.131147540984 0.409836065574 
CP_RMFCA 0.0327868852459 0.16393442623 0.311475409836 
CP_RMFCEN1 0.0 0.114754098361 0.44262295082 
CP_RMFCEN2 0.016393442623 0.0819672131148 0.491803278689 
CP_RO 0.0 0.0655737704918 0.27868852459 
CP_SJKG 0.016393442623 0.0655737704918 0.27868852459 
CP_SKOa 0.016393442623 0.0655737704918 0.262295081967 
CP_SKOb 0.016393442623 0.131147540984 0.344262295082 
CP_SKOIP 0.016393442623 0.131147540984 0.344262295082 
CP_TB 0.0819672131148 0.180327868852 0.459016393443 
CP_TD 0.0327868852459 0.16393442623 0.426229508197 
CP_TEl 0.0655737704918 0.131147540984 0.393442622951 
CP_TEs 0.016393442623 0.0655737704918 0.295081967213 
CP_TS 0.0 0.0983606557377 0.44262295082 
CP_TSC 0.0655737704918 0.311475409836 0.55737704918 
CP_VD 0.0327868852459 0.0819672131148 0.245901639344 
CP_Z3DC_CB 0.0 0.0 0.0983606557377 
CP_Z3DC_MIN 0.016393442623 0.0819672131148 0.213114754098 
CP_ZLOCAL_CB 0.0 0.016393442623 0.0819672131148 
CP_ZLOCAL_MIN 0.0 0.016393442623 0.114754098361 
CP_ZPAIR_CB 0.0 0.0 0.0491803278689 
CP_ZPAIR_MIN 0.0 0.0327868852459 0.114754098361 
CP_ZS3DC_CB 0.0327868852459 0.0819672131148 0.262295081967 
CP_ZS3DC_MIN 0.016393442623 0.147540983607 0.262295081967 
DESOLV 0.0327868852459 0.0819672131148 0.16393442623 
ELE 0.0655737704918 0.180327868852 0.409836065574 
ODA 0.0 0.131147540984 0.213114754098 
PROPNSTS 0.0 0.0 0.0327868852459 
PYDOCK_TOT 0.131147540984 0.27868852459 0.360655737705 
SIPPER 0.0 0.0 0.0327868852459 
VDW 0.016393442623 0.16393442623 0.44262295082 

