/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.flexibility.2.BM5 samples = 20

AP_calRW 0.0 0.2 0.6 
AP_calRWp 0.05 0.15 0.55 
AP_DARS 0.0 0.25 0.35 
AP_DCOMPLEX 0.05 0.1 0.6 
AP_dDFIRE 0.0 0.05 0.3 
AP_DFIRE2 0.0 0.1 0.4 
AP_DOPE 0.0 0.0 0.2 
AP_DOPE_HR 0.0 0.0 0.55 
AP_GOAP_ALL 0.0 0.05 0.1 
AP_GOAP_DF 0.0 0.1 0.25 
AP_GOAP_G 0.0 0.0 0.05 
AP_MPS 0.05 0.2 0.35 
AP_PISA 0.05 0.25 0.5 
AP_T1 0.1 0.4 0.55 
AP_T2 0.1 0.45 0.6 
AP_URS 0.05 0.15 0.45 
AP_WENG 0.0 0.0 0.05 
CP_BFKV 0.05 0.1 0.35 
CP_BL 0.05 0.15 0.25 
CP_BT 0.1 0.25 0.4 
CP_DECK 0.0 0.0 0.15 
CP_E3D_CB 0.05 0.1 0.35 
CP_E3DC_CB 0.0 0.05 0.1 
CP_E3DC_MIN 0.0 0.1 0.15 
CP_E3D_MIN 0.05 0.2 0.45 
CP_ELOCAL_CB 0.0 0.1 0.35 
CP_ELOCAL_MIN 0.0 0.15 0.45 
CP_EPAIR_CB 0.0 0.15 0.25 
CP_EPAIR_MIN 0.15 0.2 0.5 
CP_ES3DC_CB 0.0 0.05 0.1 
CP_ES3DC_MIN 0.0 0.15 0.3 
CP_GKS 0.0 0.05 0.45 
CP_HLPL 0.05 0.2 0.5 
CP_MJ1 0.0 0.15 0.4 
CP_MJ2 0.0 0.0 0.5 
CP_MJ2h 0.05 0.1 0.4 
CP_MJ3h 0.05 0.25 0.3 
CP_MJPL 0.15 0.15 0.4 
CP_MS 0.0 0.15 0.4 
CP_MSBM 0.0 0.05 0.25 
CP_Qa 0.0 0.05 0.3 
CP_Qm 0.1 0.2 0.2 
CP_Qp 0.05 0.15 0.5 
CP_RMFCA 0.0 0.05 0.4 
CP_RMFCEN1 0.0 0.25 0.55 
CP_RMFCEN2 0.0 0.2 0.5 
CP_RO 0.05 0.1 0.2 
CP_SJKG 0.1 0.25 0.4 
CP_SKOa 0.05 0.25 0.35 
CP_SKOb 0.1 0.1 0.3 
CP_SKOIP 0.05 0.15 0.35 
CP_TB 0.05 0.3 0.65 
CP_TD 0.0 0.15 0.4 
CP_TEl 0.0 0.05 0.2 
CP_TEs 0.0 0.1 0.25 
CP_TS 0.05 0.15 0.45 
CP_TSC 0.05 0.2 0.6 
CP_VD 0.05 0.15 0.35 
CP_Z3DC_CB 0.0 0.0 0.05 
CP_Z3DC_MIN 0.0 0.0 0.2 
CP_ZLOCAL_CB 0.0 0.0 0.05 
CP_ZLOCAL_MIN 0.0 0.05 0.05 
CP_ZPAIR_CB 0.0 0.0 0.2 
CP_ZPAIR_MIN 0.0 0.05 0.15 
CP_ZS3DC_CB 0.0 0.05 0.15 
CP_ZS3DC_MIN 0.0 0.1 0.2 
DESOLV 0.05 0.1 0.15 
ELE 0.05 0.2 0.65 
ODA 0.0 0.0 0.1 
PROPNSTS 0.0 0.0 0.05 
PYDOCK_TOT 0.2 0.25 0.35 
SIPPER 0.0 0.0 0.0 
VDW 0.0 0.15 0.45 

